Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF
BorodinPart1,File1,m1,m2,P,m1_m2,1.18521865527719,0.231261292571413,1.31120190712844,0.127037289735459,0,0,1.24821028120282
BorodinPart1,File1,m1,m3,P,m1_m3,0.622272468268852,0.943586644551423,0.691653612308986,0.891448086037725,0,0,0.656963040288919
BorodinPart1,File1,m1,m4,P,m1_m4,0.912691268269685,0.602436849306672,1.06302769329257,0.377835762904903,0,0,0.987859480781128
BorodinPart1,File1,m2,m3,P,m2_m3,1.03462355146936,0.417663304417217,1.04067589842408,0.409026388067074,0,0,1.03764972494672
BorodinPart1,File1,m2,m4,P,m2_m4,1.4758985238807,0.051356120023028,0.884571434650486,0.645668977142363,0,0,1.18023497926559
BorodinPart1,File1,m3,m4,P,m3_m4,0.588094142980466,0.961559478383972,1.18119122811246,0.235381169983327,0,0,0.884642685546463
BorodinPart1,File2,m1,m2,P,m1_m2,1.25908449481058,0.164757376064582,1.15172940300421,0.267256003846505,0,0,1.20540694890739
BorodinPart1,File2,m1,m3,P,m1_m3,0.770944084251786,0.805597422718151,1.04943246237314,0.396801459689041,0,0,0.910188273312463
BorodinPart1,File2,m1,m4,P,m1_m4,1.23851756052493,0.181684458700159,0.825100945771421,0.733404393036093,0,0,1.03180925314818
BorodinPart1,File2,m2,m3,P,m2_m3,1.10372767648871,0.324426053085622,0.814119927737139,0.748766702755731,0,0,0.958923802112924
BorodinPart1,File2,m2,m4,P,m2_m4,0.804972277731373,0.761305092202572,0.838980388216384,0.713546431499715,0,0,0.821976332973879
BorodinPart1,File2,m3,m4,P,m3_m4,1.36013465234488,0.0986207136738086,1.43651682860313,0.0647101684126349,0,0,1.39832574047401
BorodinPart2,File1,m1,m2,P,m1_m2,0.712431470855652,0.869251405645574,0.8271251233217,0.72880799864242,0,0,0.769778297088676
BorodinPart2,File1,m1,m3,P,m1_m3,0.759519307591396,0.817327495105433,0.70226125337528,0.879245629381011,0,0,0.730890280483338
BorodinPart2,File1,m1,m4,P,m1_m4,1.761027103034,0.00949760444409714,1.48647011915423,0.0517659215264767,1,0,1.62374861109411
BorodinPart2,File1,m2,m3,P,m2_m3,0.767204439803578,0.808024974022842,0.987691401737992,0.488164851547033,0,0,0.877447920770785
BorodinPart2,File1,m2,m4,P,m2_m4,1.45611936976729,0.061429761202758,0.826810780368662,0.729250265303925,0,0,1.14146507506798
BorodinPart2,File1,m3,m4,P,m3_m4,1.03693757107111,0.416643190394011,0.991969610672384,0.481801235030212,0,0,1.01445359087175
BorodinPart2,File2,m1,m2,H,m1_m2,1.26292532022666,0.163206622627476,1.15118248351971,0.269144630636651,0,0,1.20705390187318
BorodinPart2,File2,m1,m3,H,m1_m3,0.681957675225359,0.899259165753726,1.03373788476194,0.41972919985657,0,0,0.857847779993649
BorodinPart2,File2,m1,m4,H,m1_m4,0.823853183590616,0.734595176747753,1.04766361726481,0.400050303537639,0,0,0.935758400427713
BorodinPart2,File2,m2,m3,H,m2_m3,0.869110548665709,0.668661282216195,0.765187939065468,0.811977678452058,0,0,0.817149243865589
BorodinPart2,File2,m2,m4,H,m2_m4,0.888437195061226,0.639452046899592,1.18014863433072,0.238047419206171,0,0,1.03429291469597
BorodinPart2,File2,m3,m4,H,m3_m4,1.90563571613075,0.00314795122938151,1.36042788432457,0.0998473925906664,1,0,1.63303180022766
BorodinPart2,File3,m1,m2,H,m1_m2,1.35447061793671,0.102716471592267,1.23946319137931,0.182011384388715,0,0,1.29696690465801
BorodinPart2,File3,m1,m3,H,m1_m3,1.37737398782727,0.0909331242913111,0.993373079275823,0.47875459661339,0,0,1.18537353355155
BorodinPart2,File3,m1,m4,H,m1_m4,1.30130654417711,0.134951889960584,1.16954530970633,0.248834307875716,0,0,1.23542592694172
BorodinPart2,File3,m2,m3,H,m2_m3,1.1989743648018,0.218893125713206,1.27342769125257,0.154824899705463,0,0,1.23620102802718
BorodinPart2,File3,m2,m4,H,m2_m4,0.934366992404665,0.568871449331498,1.18253114603656,0.235295469316756,0,0,1.05844906922061
BorodinPart2,File3,m3,m4,H,m3_m4,1.06213313520896,0.379867990707497,1.23751312875127,0.183674757862512,0,0,1.14982313198011
BorodinPart2,File4,m1,m2,P,m1_m2,0.572879511852187,0.968780140468641,1.58670673710627,0.0246791814621668,0,1,1.07979312447923
BorodinPart2,File4,m1,m3,P,m1_m3,1.15073937524635,0.265728635236359,1.30678252084529,0.127172824635857,0,0,1.22876094804582
BorodinPart2,File4,m1,m4,P,m1_m4,0.836665827207493,0.717973786798449,0.932023317474694,0.572494261989682,0,0,0.884344572341094
BorodinPart2,File4,m2,m3,P,m2_m3,0.941229075707256,0.558114165693997,0.786913790056671,0.786693658785474,0,0,0.864071432881963
BorodinPart2,File4,m2,m4,P,m2_m4,1.49783174542027,0.04317785607539,1.46523446307393,0.0525609921883041,1,0,1.4815331042471
BorodinPart2,File4,m3,m4,P,m3_m4,1.13870399885014,0.279546090822835,0.934927036700233,0.567957306736558,0,0,1.03681551777519
BorodinPart2,File5,m1,m2,P,m1_m2,1.02390895131647,0.432857110498691,1.1924135894989,0.223396142525846,0,0,1.10816127040769
BorodinPart2,File5,m1,m3,P,m1_m3,0.98817026599893,0.486040550701004,0.854532229630859,0.691060533931483,0,0,0.921351247814894
BorodinPart2,File5,m1,m4,P,m1_m4,0.935842572515428,0.566559700931739,0.610441700959354,0.950574015103109,0,0,0.773142136737391
BorodinPart2,File5,m2,m3,P,m2_m3,1.00485871413673,0.460952142240807,0.747908157585865,0.833652322891621,0,0,0.876383435861298
BorodinPart2,File5,m2,m4,P,m2_m4,0.871395785683787,0.665818862222379,1.3513806238354,0.102453645120631,0,0,1.11138820475959
BorodinPart2,File5,m3,m4,P,m3_m4,1.30488567096241,0.130522795404348,1.06355214902193,0.376726881038036,0,0,1.18421890999217
BorodinPart2,File6,m1,m2,H,m1_m2,1.34772681263463,0.104092706742366,1.07331120589825,0.363225317957071,0,0,1.21051900926644
BorodinPart2,File6,m1,m3,H,m1_m3,0.869054989595636,0.669450045263307,1.21821616314278,0.198359506106455,0,0,1.04363557636921
BorodinPart2,File6,m1,m4,H,m1_m4,1.54789768847181,0.0326518994531139,1.2381642487183,0.180693545181238,1,0,1.39303096859506
BorodinPart2,File6,m2,m3,H,m2_m3,1.09447391723853,0.335297367956947,0.690288454485912,0.893176353930209,0,0,0.892381185862221
BorodinPart2,File6,m2,m4,H,m2_m4,0.875226419133131,0.660113812560759,0.841039138185793,0.711010397768371,0,0,0.858132778659462
BorodinPart2,File6,m3,m4,H,m3_m4,0.985252718541942,0.490370280893971,0.472734577819299,0.992975493083913,0,0,0.728993648180621
BorodinPart2,File7,m1,m2,P,m1_m2,1.14850195515241,0.271108794864647,1.43592444669921,0.0651415493128772,0,0,1.29221320092581
BorodinPart2,File7,m1,m3,P,m1_m3,1.45259369042438,0.0592219304886956,0.988902381843836,0.485237723781064,0,0,1.22074803613411
BorodinPart2,File7,m1,m4,P,m1_m4,0.659182884158509,0.918338591619566,1.20071449120363,0.216363221658552,0,0,0.92994868768107
BorodinPart2,File7,m2,m3,P,m2_m3,1.02231262032616,0.43567087252871,0.75504999501462,0.824739428679703,0,0,0.88868130767039
BorodinPart2,File7,m2,m4,P,m2_m4,1.31614086000056,0.124368886031706,0.837725516070415,0.715268724711138,0,0,1.07693318803549
BorodinPart2,File7,m3,m4,P,m3_m4,1.05042709173113,0.395549080564974,1.16925025705135,0.248350750860081,0,0,1.10983867439124
BorodinPart2,File8,m1,m2,P,m1_m2,1.48133933502131,0.0497371091151486,0.929618105455978,0.576218380243122,1,0,1.20547872023864
BorodinPart2,File8,m1,m3,P,m1_m3,2.20108922067174,0.00030439655836471,1.06230686565533,0.378823360813962,1,0,1.63169804316354
BorodinPart2,File8,m1,m4,P,m1_m4,1.01887154746791,0.440488301115739,1.15430044373833,0.2641726236161,0,0,1.08658599560312
BorodinPart2,File8,m2,m3,P,m2_m3,1.27883203254884,0.149417270332777,1.20757205561968,0.209305983506343,0,0,1.24320204408426
BorodinPart2,File8,m2,m4,P,m2_m4,0.984453148060041,0.491839930010705,1.27429735034001,0.152784527259762,0,0,1.12937524920003
BorodinPart2,File8,m3,m4,P,m3_m4,1.33069050352656,0.114910672409003,1.10452642145772,0.323238350706555,0,0,1.21760846249214
BorodinPart2,File9,m1,m2,P,m1_m2,0.878138372344557,0.654404727980618,1.25823911320812,0.169959746982941,0,0,1.06818874277634
BorodinPart2,File9,m1,m3,P,m1_m3,0.94950043751961,0.545806810308262,1.16974893452184,0.251685060070396,0,0,1.05962468602073
BorodinPart2,File9,m1,m4,P,m1_m4,1.26900578405073,0.161571632178968,0.886739038872452,0.641464525531273,0,0,1.07787241146159
BorodinPart2,File9,m2,m3,P,m2_m3,1.20305210243935,0.218204438918201,1.0258717657389,0.432329211554503,0,0,1.11446193408913
BorodinPart2,File9,m2,m4,P,m2_m4,1.18666651200051,0.234262518287338,2.01623356531347,0.0016229057911715,0,1,1.60145003865699
BorodinPart2,File9,m3,m4,P,m3_m4,0.926373230720998,0.581132964764185,1.0452305609248,0.405019437625519,0,0,0.985801895822899
BorodinPart3,File1,m1,m2,P,m1_m2,1.31304420779509,0.124143815313776,1.07164261355924,0.365056127035415,0,0,1.19234341067716
BorodinPart3,File1,m1,m3,P,m1_m3,0.951591764341981,0.542044587155014,1.30407511901707,0.13000482445268,0,0,1.12783344167953
BorodinPart3,File1,m1,m4,P,m1_m4,1.3696345944067,0.0919002065406346,1.00753268241949,0.456600003639849,0,0,1.1885836384131
BorodinPart3,File1,m2,m3,P,m2_m3,1.08591307981289,0.345992905654681,0.877224269148749,0.657233842038904,0,0,0.981568674480819
BorodinPart3,File1,m2,m4,P,m2_m4,1.42065474363245,0.0691208429661437,1.06506404504855,0.374021499476142,0,0,1.2428593943405
BorodinPart3,File1,m3,m4,P,m3_m4,0.939424698047226,0.560964723538889,1.08797560876266,0.343282546687688,0,0,1.01370015340494
BorodinPart3,File2,m1,m2,H,m1_m2,4.99084921869611,0.00000000000001734,2.71079526032516,0.00000670736616407,1,1,3.85082223951064
BorodinPart3,File2,m1,m3,H,m1_m3,8.44087203279332,0,3.54081243211414,0.00000000573400564,1,1,5.99084223245373
BorodinPart3,File2,m1,m4,H,m1_m4,2.3016349067094,0.00017946325315218,2.76049138295583,0.00000444709693888,1,1,2.53106314483261
BorodinPart3,File2,m2,m3,H,m2_m3,2.55054733989475,0.00002484857698605,2.81393360621381,0.00000285204828194,1,1,2.68224047305428
BorodinPart3,File2,m2,m4,H,m2_m4,2.54463417332832,0.00002606591391341,5.83907239302197,0.00000000000000001,1,1,4.19185328317515
BorodinPart3,File2,m3,m4,H,m3_m4,2.00325736159616,0.00169908652985455,3.69339738403781,0.00000000151792286,1,1,2.84832737281699
BorodinPart4,File1,m1,m2,H,m1_m2,1.14898033856729,0.271327578905081,1.3001576837873,0.135728877401854,0,0,1.22456901117729
BorodinPart4,File1,m1,m3,H,m1_m3,1.02725258008407,0.428886853854094,0.876396343362941,0.657780137317918,0,0,0.951824461723505
BorodinPart4,File1,m1,m4,H,m1_m4,1.15131507017681,0.268709366860605,1.11947038551852,0.305822555586375,0,0,1.13539272784766
BorodinPart4,File1,m2,m3,H,m2_m3,1.58669704791804,0.0268458233230525,1.38033670758138,0.0894948130742789,1,0,1.48351687774971
BorodinPart4,File1,m2,m4,H,m2_m4,0.66517360714514,0.913312134990024,0.583965753257629,0.963026152174054,0,0,0.624569680201384
