concert,phrase,musician1,musician2,texture,pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF
BrahmsConcertPart1,File13,c1,c2,P,c1_c2,1.05935644200379,0.383492512208088,2.55175492260445,0.0000187365160820962,0,1,1.80555568230412
BrahmsConcertPart1,File13,c1,c3,P,c1_c3,1.43100980206837,0.0674520437909113,1.44957130208408,0.0607104495665734,0,0,1.44029055207622
BrahmsConcertPart1,File13,c1,c4,P,c1_c4,2.20792775400779,0.000309880340207219,1.43918227386875,0.0644081453860904,1,0,1.82355501393827
BrahmsConcertPart1,File13,c1,c5,P,c1_c5,0.440088554960726,0.996108546014094,1.67042660696546,0.0155971620386291,0,1,1.05525758096309
BrahmsConcertPart1,File13,c2,c3,P,c2_c3,2.12694453916467,0.00058341748491481,0.467918387071473,0.993389218065992,1,0,1.29743146311807
BrahmsConcertPart1,File13,c2,c4,P,c2_c4,3.06191025158831,0.000000225788235225375,1.12460533942206,0.29938765550378,1,0,2.09325779550518
BrahmsConcertPart1,File13,c2,c5,P,c2_c5,1.72356662191645,0.0109580798896876,1.47066913864508,0.053764416104468,1,0,1.59711788028077
BrahmsConcertPart1,File13,c3,c4,P,c3_c4,2.15829950221949,0.000457324970825344,0.989297567000285,0.484791115784789,1,0,1.57379853460989
BrahmsConcertPart1,File13,c3,c5,P,c3_c5,0.843743764726952,0.706350090807454,1.99598982179407,0.00157849377847676,0,1,1.41986679326051
BrahmsConcertPart1,File13,c4,c5,P,c4_c5,1.50216035011252,0.0446905057346348,3.49614039626714,0.00000000452211765937279,1,1,2.49915037318983
