Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart1,File1,m1,m2,P,m1_m2,0.958289283,0.532068421,1.379424362,0.090238497,0,0,1.168856823,Mixed
BrahmsConcertPart1,File1,m1,m3,P,m1_m3,0.647904455,0.92614923,1.132106095,0.291007796,0,0,0.890005275,Mixed
BrahmsConcertPart1,File1,m1,m4,P,m1_m4,0.467089682,0.993436215,0.748212996,0.832129586,0,0,0.607651339,Mixed
BrahmsConcertPart1,File1,m1,m5,P,m1_m5,0.486868681,0.990726443,0.949101671,0.546176287,0,0,0.717985176,Mixed
BrahmsConcertPart1,File1,m2,m3,P,m2_m3,0.957870014,0.53271114,1.26546637,0.161230089,0,0,1.111668192,Mixed
BrahmsConcertPart1,File1,m2,m4,P,m2_m4,0.982479509,0.495232144,1.327521877,0.118488894,0,0,1.155000693,Mixed
BrahmsConcertPart1,File1,m2,m5,P,m2_m5,1.081661044,0.35388519,1.681200217,0.014767392,0,1,1.381430631,Mixed
BrahmsConcertPart1,File1,m3,m4,P,m3_m4,1.696974589,0.01331178,1.18209186,0.236052791,1,0,1.439533225,Mixed
BrahmsConcertPart1,File1,m3,m5,P,m3_m5,1.162348094,0.256855352,1.161723786,0.257532513,0,0,1.16203594,Mixed
BrahmsConcertPart1,File1,m4,m5,P,m4_m5,0.600300699,0.955149195,1.17305107,0.245430775,0,0,0.886675884,Mixed
BrahmsConcertPart1,File10,m1,m2,P,m1_m2,0.915388554,0.59842479,1.7845562,0.006505587,0,1,1.349972377,Mixed
BrahmsConcertPart1,File10,m1,m3,P,m1_m3,0.513455149,0.986337632,0.958463568,0.531336549,0,0,0.735959358,Mixed
BrahmsConcertPart1,File10,m1,m4,P,m1_m4,1.495009709,0.044354152,0.984644544,0.491026185,1,0,1.239827127,Mixed
BrahmsConcertPart1,File10,m1,m5,P,m1_m5,2.445755622,3.34E-05,1.255282482,0.165377545,1,0,1.850519052,Mixed
BrahmsConcertPart1,File10,m2,m3,P,m2_m3,0.969360278,0.514482604,0.680017953,0.902697649,0,0,0.824689116,Mixed
BrahmsConcertPart1,File10,m2,m4,P,m2_m4,0.643263059,0.930951804,0.716547166,0.868489986,0,0,0.679905112,Mixed
BrahmsConcertPart1,File10,m2,m5,P,m2_m5,1.270292305,0.153635993,0.801596722,0.766923214,0,0,1.035944514,Mixed
BrahmsConcertPart1,File10,m3,m4,P,m3_m4,0.957180726,0.533326345,0.724068322,0.860700503,0,0,0.840624524,Mixed
BrahmsConcertPart1,File10,m3,m5,P,m3_m5,1.022782283,0.433874116,1.250537431,0.169227987,0,0,1.136659857,Mixed
BrahmsConcertPart1,File10,m4,m5,P,m4_m5,1.149203729,0.268002993,1.000795309,0.466547386,0,0,1.074999519,Mixed
BrahmsConcertPart1,File11,m1,m2,H,m1_m2,1.253928294,0.167583283,3.224664297,3.44E-08,0,1,2.239296296,m5
BrahmsConcertPart1,File11,m1,m3,H,m1_m3,1.439920635,0.06241682,3.391800189,7.18E-09,0,1,2.415860412,m5
BrahmsConcertPart1,File11,m1,m4,H,m1_m4,1.481772595,0.048844532,3.710169254,3.48E-10,1,1,2.595970925,m5
BrahmsConcertPart1,File11,m1,m5,H,m1_m5,1.471154301,0.052017703,3.057145865,1.62E-07,0,1,2.264150083,m5
BrahmsConcertPart1,File11,m2,m3,H,m2_m3,1.845102719,0.004376875,5.164805392,2.30E-16,1,1,3.504954056,m5
BrahmsConcertPart1,File11,m2,m4,H,m2_m4,1.064629202,0.375020659,4.080397384,9.75E-12,0,1,2.572513293,m5
BrahmsConcertPart1,File11,m2,m5,H,m2_m5,2.708402726,3.79E-06,3.838143301,1.02E-10,1,1,3.273273014,m5
BrahmsConcertPart1,File11,m3,m4,H,m3_m4,2.656464356,6.00E-06,1.595562672,0.024158065,1,1,2.126013514,m5
BrahmsConcertPart1,File11,m3,m5,H,m3_m5,4.19548597,3.18E-12,1.724532553,0.01025102,1,1,2.960009261,m5
BrahmsConcertPart1,File11,m4,m5,H,m4_m5,4.692006206,2.47E-14,2.190678177,0.000308255,1,1,3.441342191,m5
BrahmsConcertPart2,File11,m1,m2,P,m1_m2,1.704831766,0.011671015,1.073765506,0.362499237,1,0,1.389298636,Mixed
