file,piece,part,phrase,musician1,musician2,texture,pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,melody_instrument
BorodinPart1,Borodin,Part1,File1,c1,c2,P,c1_c2,1.185218655,0.231261293,1.311201907,0.12703729,0,0,1.248210281,Mixed
BorodinPart1,Borodin,Part1,File1,c1,c3,P,c1_c3,0.622272468,0.943586645,0.691653612,0.891448086,0,0,0.65696304,Mixed
BorodinPart1,Borodin,Part1,File1,c1,c4,P,c1_c4,0.912691268,0.602436849,1.063027693,0.377835763,0,0,0.987859481,Mixed
BorodinPart1,Borodin,Part1,File1,c2,c3,P,c2_c3,1.034623551,0.417663304,1.040675898,0.409026388,0,0,1.037649725,Mixed
BorodinPart1,Borodin,Part1,File1,c2,c4,P,c2_c4,1.475898524,0.05135612,0.884571435,0.645668977,0,0,1.180234979,Mixed
BorodinPart1,Borodin,Part1,File1,c3,c4,P,c3_c4,0.588094143,0.961559478,1.181191228,0.23538117,0,0,0.884642686,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c2,P,c1_c2,1.259084495,0.164757376,1.151729403,0.267256004,0,0,1.205406949,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c3,P,c1_c3,0.770944084,0.805597423,1.049432462,0.39680146,0,0,0.910188273,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c4,P,c1_c4,1.238517561,0.181684459,0.825100946,0.733404393,0,0,1.031809253,Mixed
BorodinPart1,Borodin,Part1,File2,c2,c3,P,c2_c3,1.103727676,0.324426053,0.814119928,0.748766703,0,0,0.958923802,Mixed
BorodinPart1,Borodin,Part1,File2,c2,c4,P,c2_c4,0.804972278,0.761305092,0.838980388,0.713546431,0,0,0.821976333,Mixed
BorodinPart1,Borodin,Part1,File2,c3,c4,P,c3_c4,1.360134652,0.098620714,1.436516829,0.064710168,0,0,1.39832574,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c2,P,c1_c2,0.712431471,0.869251406,0.827125123,0.728807999,0,0,0.769778297,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c3,P,c1_c3,0.759519308,0.817327495,0.702261253,0.879245629,0,0,0.73089028,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c4,P,c1_c4,1.761027103,0.009497604,1.486470119,0.051765922,1,0,1.623748611,Mixed
BorodinPart2,Borodin,Part2,File1,c2,c3,P,c2_c3,0.76720444,0.808024974,0.987691402,0.488164852,0,0,0.877447921,Mixed
